Age,Years_of_Experience,Education_Level,Job_Role,City_Tier,Salary
39,19.5,Bachelor,Senior,Tier 1,878334.0
33,10.7,High School,Junior,Tier 2,351222.0
48,23.6,High School,Junior,Tier 1,340190.0
27,7.7,Bachelor,Mid,Tier 3,782747.0
33,10.9,Bachelor,Mid,Tier 2,636788.0
28,2.5,High School,Mid,Tier 1,460150.0
17,0.0,High School,Junior,Tier 2,393569.0
38,18.1,High School,Mid,Tier 3,538665.0
28,1.1,High School,Mid,Tier 2,582485.0
41,17.4,High School,Junior,Tier 1,507124.0
42,19.8,High School,Junior,Tier 3,205912.0
36,15.5,High School,Junior,Tier 3,416347.0
37,14.0,Master,Lead,Tier 2,2129083.0
38,14.3,Bachelor,Lead,Tier 2,2052839.0
55,34.5,Bachelor,Lead,Tier 2,1379559.0
55,32.1,Bachelor,Mid,Tier 2,1238378.0
36,15.1,Bachelor,Lead,Tier 1,2097167.0
52,27.8,Bachelor,Mid,Tier 1,1090072.0
20,0.0,High School,Junior,Tier 2,387930.0
43,22.5,Bachelor,Mid,Tier 1,1262864.0
35,13.5,High School,Junior,Tier 1,312498.0
61,40.8,High School,Junior,Tier 2,512165.0
30,6.9,Bachelor,Lead,Tier 1,1374765.0
38,14.4,Bachelor,Lead,Tier 2,2205956.0
31,11.7,Bachelor,Mid,Tier 3,553584.0
21,0.0,Bachelor,Mid,Tier 3,773079.0
28,8.5,High School,Senior,Tier 2,979602.0
57,37.6,Bachelor,Manager,Tier 2,2156494.0
19,0.0,High School,Manager,Tier 2,1983073.0
34,10.6,Bachelor,Mid,Tier 3,781923.0
42,18.4,Bachelor,Mid,Tier 2,906430.0
36,13.6,High School,Mid,Tier 2,1081084.0
33,8.4,Bachelor,Mid,Tier 1,672704.0
32,8.1,Master,Lead,Tier 2,2151635.0
41,20.3,PhD,Manager,Tier 2,3208022.0
23,2.3,Bachelor,Senior,Tier 2,1105944.0
31,6.9,Bachelor,Mid,Tier 1,831832.0
38,17.4,High School,Junior,Tier 2,378509.0
51,29.9,High School,Mid,Tier 3,698017.0
36,17.0,High School,Lead,Tier 3,1113759.0
57,36.1,Bachelor,Mid,Tier 3,700931.0
20,0.1,High School,Mid,Tier 3,596414.0
66,45.0,Bachelor,Mid,Tier 2,1293081.0
22,2.0,High School,Junior,Tier 3,361448.0
46,21.4,High School,Junior,Tier 3,1154123.0
38,15.8,Master,Lead,Tier 1,2243603.0
43,20.9,Master,Manager,Tier 1,2973241.0
37,14.5,High School,Senior,Tier 3,649647.0
22,0.9,Bachelor,Manager,Tier 1,2228590.0
58,37.3,High School,Mid,Tier 2,522034.0
43,21.8,High School,Mid,Tier 3,757917.0
55,32.6,Master,Lead,Tier 2,1549895.0
45,21.5,High School,Manager,Tier 1,1944343.0
48,28.2,Bachelor,Manager,Tier 1,2543283.0
36,14.7,Bachelor,Manager,Tier 1,2519064.0
73,49.0,High School,Mid,Tier 3,758236.0
29,6.6,High School,Senior,Tier 1,580313.0
36,10.5,High School,Manager,Tier 1,2369179.0
57,35.1,Bachelor,Lead,Tier 1,2157002.0
32,9.6,Bachelor,Senior,Tier 3,1000275.0
34,10.9,Bachelor,Manager,Tier 3,2544136.0
20,1.2,Bachelor,Mid,Tier 1,932736.0
51,26.7,High School,Mid,Tier 2,824925.0
51,30.4,Bachelor,Manager,Tier 1,2050050.0
45,27.0,Bachelor,Manager,Tier 1,2214848.0
68,48.2,High School,Mid,Tier 1,782044.0
73,50.9,Bachelor,Senior,Tier 1,1048042.0
18,0.0,High School,Junior,Tier 2,338534.0
35,10.3,High School,Mid,Tier 2,610646.0
58,35.2,High School,Mid,Tier 1,1025460.0
38,14.6,High School,Junior,Tier 2,490654.0
31,7.6,High School,Mid,Tier 2,560466.0
18,0.0,High School,Junior,Tier 3,406778.0
35,12.8,Bachelor,Senior,Tier 2,1055041.0
51,30.0,Master,Junior,Tier 2,1198297.0
49,24.5,Bachelor,Mid,Tier 1,1351702.0
51,27.6,Bachelor,Lead,Tier 2,1309373.0
28,5.7,High School,Junior,Tier 1,342117.0
32,9.6,Bachelor,Manager,Tier 3,2516402.0
50,31.7,Bachelor,Senior,Tier 1,1544803.0
47,25.5,Bachelor,Manager,Tier 1,2379090.0
54,28.8,High School,Senior,Tier 2,848489.0
41,19.8,Bachelor,Junior,Tier 3,615765.0
29,8.1,High School,Mid,Tier 2,621335.0
52,29.7,High School,Manager,Tier 1,2030068.0
33,8.6,Master,Manager,Tier 2,2715676.0
37,18.5,High School,Mid,Tier 1,565057.0
27,2.9,Bachelor,Junior,Tier 3,660057.0
46,25.3,High School,Manager,Tier 1,2504609.0
45,23.4,Master,Lead,Tier 1,2237200.0
35,14.2,High School,Junior,Tier 3,653702.0
32,13.4,High School,Mid,Tier 2,576995.0
32,11.1,High School,Manager,Tier 1,2471903.0
36,12.9,Bachelor,Mid,Tier 1,653343.0
33,13.2,High School,Mid,Tier 2,565294.0
51,27.7,Bachelor,Mid,Tier 3,872612.0
29,7.3,Bachelor,Mid,Tier 2,818829.0
29,4.4,High School,Mid,Tier 2,771909.0
52,27.9,Bachelor,Mid,Tier 2,793301.0
33,11.1,High School,Mid,Tier 1,331100.0
32,10.7,Bachelor,Junior,Tier 2,625490.0
35,9.6,High School,Senior,Tier 1,912511.0
23,2.0,Bachelor,Lead,Tier 2,1450205.0
56,32.4,Bachelor,Mid,Tier 1,941188.0
41,21.6,High School,Junior,Tier 2,367076.0
33,10.3,Bachelor,Mid,Tier 2,819560.0
35,10.8,Bachelor,Manager,Tier 1,2550791.0
76,54.2,Bachelor,Mid,Tier 2,567808.0
38,14.2,High School,Junior,Tier 2,343144.0
42,22.5,High School,Mid,Tier 1,562358.0
45,23.0,Master,Lead,Tier 1,2280764.0
22,0.0,Bachelor,Senior,Tier 2,918306.0
30,9.2,Bachelor,Manager,Tier 2,2868335.0
59,35.0,Bachelor,Mid,Tier 2,634128.0
33,8.4,Bachelor,Lead,Tier 1,1454424.0
30,8.8,Bachelor,Junior,Tier 3,551396.0
43,18.8,High School,Mid,Tier 2,635910.0
26,1.8,High School,Junior,Tier 2,454094.0
34,13.7,Master,Manager,Tier 3,3101450.0
53,32.1,High School,Mid,Tier 2,527684.0
26,1.5,Bachelor,Manager,Tier 3,2087529.0
66,42.8,High School,Mid,Tier 1,589974.0
34,10.2,High School,Mid,Tier 2,725450.0
57,38.6,High School,Junior,Tier 2,453865.0
30,9.8,High School,Junior,Tier 3,426372.0
23,0.2,Bachelor,Junior,Tier 3,370742.0
35,14.2,Master,Lead,Tier 1,2160625.0
40,15.3,Bachelor,Mid,Tier 2,632811.0
45,21.7,Master,Lead,Tier 3,2153838.0
28,6.2,High School,Junior,Tier 3,300893.0
35,13.9,Bachelor,Manager,Tier 2,2610318.0
51,28.8,High School,Manager,Tier 1,1880681.0
47,25.5,Bachelor,Manager,Tier 2,2002775.0
24,2.2,Bachelor,Mid,Tier 1,726690.0
52,29.7,Bachelor,Mid,Tier 3,638634.0
20,0.0,High School,Junior,Tier 2,423944.0
68,45.1,High School,Junior,Tier 1,329274.0
35,13.5,Bachelor,Mid,Tier 1,1285637.0
53,31.8,Master,Lead,Tier 1,1593977.0
23,1.4,Bachelor,Mid,Tier 2,440210.0
35,10.6,High School,Mid,Tier 2,898987.0
21,0.0,Bachelor,Mid,Tier 2,812972.0
52,30.8,Master,Lead,Tier 2,1660880.0
49,29.9,Bachelor,Mid,Tier 3,1287379.0
42,20.3,High School,Junior,Tier 3,426277.0
35,12.2,Bachelor,Manager,Tier 1,2504814.0
42,20.4,Bachelor,Mid,Tier 2,1408827.0
46,21.7,Bachelor,Lead,Tier 1,1847945.0
48,28.6,Bachelor,Mid,Tier 1,620233.0
48,26.4,Bachelor,Mid,Tier 2,1264808.0
52,28.7,High School,Mid,Tier 3,790188.0
51,28.7,Bachelor,Senior,Tier 1,1532776.0
44,20.9,Bachelor,Manager,Tier 1,2150042.0
74,54.6,High School,Junior,Tier 1,180000.0
24,1.6,High School,Mid,Tier 2,602977.0
51,29.3,High School,Mid,Tier 1,815721.0
43,22.1,Master,Lead,Tier 2,2282530.0
48,24.5,High School,Junior,Tier 1,180000.0
35,13.4,High School,Mid,Tier 2,605221.0
40,18.5,Master,Lead,Tier 2,1544318.0
52,26.9,High School,Junior,Tier 1,551665.0
53,31.5,Bachelor,Manager,Tier 1,2645479.0
28,5.9,Bachelor,Junior,Tier 3,437185.0
33,11.3,Bachelor,Mid,Tier 1,733640.0
21,0.0,Bachelor,Junior,Tier 3,466458.0
31,9.5,Bachelor,Mid,Tier 2,490774.0
39,19.7,Bachelor,Mid,Tier 1,1329090.0
44,19.6,Master,Lead,Tier 2,2200535.0
40,17.3,Bachelor,Manager,Tier 2,2725759.0
22,1.3,Bachelor,Lead,Tier 1,1572101.0
60,39.0,Bachelor,Manager,Tier 1,2061310.0
49,27.9,Bachelor,Junior,Tier 3,444847.0
41,23.0,Bachelor,Manager,Tier 3,1964597.0
24,3.2,Bachelor,Mid,Tier 2,747766.0
26,6.3,Bachelor,Mid,Tier 1,895827.0
55,32.4,High School,Mid,Tier 3,600474.0
36,12.0,High School,Manager,Tier 1,1885636.0
49,26.4,Bachelor,Senior,Tier 3,1021631.0
23,2.4,High School,Junior,Tier 2,399017.0
23,1.8,High School,Junior,Tier 3,629254.0
64,42.8,High School,Mid,Tier 3,1189875.0
50,27.6,Master,Mid,Tier 2,1483370.0
23,0.3,Bachelor,Mid,Tier 1,769592.0
28,5.6,Bachelor,Manager,Tier 1,2568839.0
31,10.4,High School,Junior,Tier 3,227645.0
30,9.7,Bachelor,Mid,Tier 2,541200.0
44,20.0,High School,Mid,Tier 1,512786.0
24,3.5,High School,Junior,Tier 3,541747.0
19,0.0,Bachelor,Junior,Tier 3,690051.0
20,0.0,Bachelor,Junior,Tier 2,416082.0
30,7.6,Bachelor,Senior,Tier 1,1631021.0
36,17.1,Bachelor,Junior,Tier 3,565784.0
28,5.2,High School,Lead,Tier 1,1213008.0
58,36.4,Bachelor,Senior,Tier 2,1807042.0
48,27.2,High School,Mid,Tier 3,691443.0
35,11.3,Bachelor,Lead,Tier 1,1515803.0
53,30.9,High School,Mid,Tier 2,608222.0
55,32.5,High School,Junior,Tier 3,212437.0
24,1.0,High School,Junior,Tier 2,562836.0
28,5.1,High School,Junior,Tier 3,469662.0
31,11.2,Master,Lead,Tier 1,1656611.0
23,0.0,Bachelor,Lead,Tier 1,1361446.0
38,17.1,High School,Mid,Tier 1,521854.0
31,9.6,High School,Mid,Tier 2,1259346.0
29,4.2,High School,Mid,Tier 1,732269.0
20,0.0,Bachelor,Mid,Tier 1,956981.0
62,37.2,High School,Junior,Tier 3,311756.0
28,7.3,Master,Mid,Tier 2,901935.0
49,26.0,High School,Mid,Tier 3,348680.0
34,12.0,Bachelor,Lead,Tier 1,1154665.0
51,26.4,Bachelor,Mid,Tier 2,812927.0
32,10.2,High School,Mid,Tier 2,497604.0
44,23.9,High School,Mid,Tier 3,363213.0
40,16.4,Bachelor,Manager,Tier 1,2525445.0
37,13.8,High School,Junior,Tier 2,471139.0
26,4.9,Bachelor,Mid,Tier 3,811069.0
37,16.0,High School,Mid,Tier 3,403529.0
62,35.1,Master,Manager,Tier 1,2948370.0
46,28.0,Master,Mid,Tier 2,816516.0
51,30.1,High School,Mid,Tier 1,1262989.0
42,21.4,Master,Lead,Tier 2,1619515.0
61,38.7,Bachelor,Lead,Tier 2,2054613.0
65,39.3,High School,Senior,Tier 2,787567.0
44,23.3,Bachelor,Lead,Tier 2,2047082.0
22,0.0,Bachelor,Mid,Tier 3,782324.0
50,29.1,High School,Mid,Tier 1,576082.0
19,0.0,Bachelor,Junior,Tier 3,562111.0
44,22.5,High School,Mid,Tier 1,762218.0
29,5.5,Bachelor,Manager,Tier 3,1993449.0
48,27.7,Bachelor,Mid,Tier 2,1428403.0
55,30.6,High School,Manager,Tier 1,1934751.0
43,25.0,Bachelor,Junior,Tier 1,720945.0
47,29.0,High School,Mid,Tier 1,431283.0
22,3.3,Bachelor,Mid,Tier 3,906456.0
47,27.6,High School,Junior,Tier 3,336203.0
24,1.8,Bachelor,Mid,Tier 3,1018414.0
38,18.3,Master,Mid,Tier 2,967233.0
39,16.8,Master,Manager,Tier 1,2902030.0
24,0.0,High School,Mid,Tier 2,580690.0
31,12.0,High School,Mid,Tier 2,1281686.0
65,45.3,High School,Junior,Tier 3,481637.0
19,0.0,High School,Mid,Tier 1,639910.0
45,20.5,Bachelor,Manager,Tier 1,2765716.0
33,9.8,High School,Manager,Tier 1,2111695.0
61,35.4,Bachelor,Manager,Tier 2,1972703.0
55,34.9,High School,Manager,Tier 3,1910068.0
27,1.8,Bachelor,Lead,Tier 3,1513227.0
29,7.6,High School,Junior,Tier 3,516642.0
40,16.3,Bachelor,Manager,Tier 1,2649676.0
36,11.1,High School,Junior,Tier 2,353146.0
23,1.5,Bachelor,Manager,Tier 2,2154583.0
49,26.3,High School,Mid,Tier 2,753186.0
39,18.7,High School,Mid,Tier 2,688783.0
47,22.5,Master,Mid,Tier 3,1481635.0
40,16.5,Bachelor,Senior,Tier 2,1955828.0
40,13.2,Bachelor,Manager,Tier 2,2682022.0
46,19.6,Master,Junior,Tier 3,725972.0
35,16.6,High School,Mid,Tier 2,795953.0
19,1.0,High School,Mid,Tier 2,783366.0
42,20.2,Master,Lead,Tier 2,2284901.0
49,25.4,High School,Mid,Tier 1,491799.0
44,21.4,Bachelor,Lead,Tier 2,1463519.0
64,43.7,High School,Junior,Tier 1,1092093.0
23,0.0,High School,Junior,Tier 3,664248.0
22,0.5,High School,Mid,Tier 2,953970.0
22,0.0,High School,Mid,Tier 2,528118.0
43,19.9,Bachelor,Junior,Tier 2,652319.0
34,10.9,Bachelor,Mid,Tier 1,652201.0
21,0.0,Bachelor,Manager,Tier 1,2035016.0
21,0.0,High School,Junior,Tier 1,295900.0
34,12.9,Bachelor,Senior,Tier 1,1250308.0
68,45.1,Master,Lead,Tier 1,1628540.0
45,23.3,Master,Lead,Tier 1,2253213.0
33,13.8,High School,Junior,Tier 1,405911.0
41,18.7,Bachelor,Mid,Tier 3,1395156.0
30,9.8,High School,Junior,Tier 3,449256.0
69,43.4,Master,Lead,Tier 3,2117776.0
25,2.1,Bachelor,Lead,Tier 1,1253462.0
36,14.1,Bachelor,Junior,Tier 1,390710.0
38,19.8,Bachelor,Mid,Tier 1,556716.0
40,14.1,High School,Mid,Tier 1,1238389.0
59,36.8,High School,Senior,Tier 2,1402023.0
36,16.9,High School,Junior,Tier 3,517612.0
33,9.4,Bachelor,Lead,Tier 1,2078880.0
31,8.6,Bachelor,Mid,Tier 2,529749.0
51,29.7,High School,Mid,Tier 1,550742.0
31,9.4,Bachelor,Lead,Tier 2,1195258.0
48,29.1,High School,Mid,Tier 2,480696.0
52,30.9,High School,Mid,Tier 2,541168.0
41,21.7,High School,Mid,Tier 3,492556.0
40,17.3,Master,Lead,Tier 2,1826190.0
53,29.5,High School,Junior,Tier 1,497355.0
24,1.5,Bachelor,Senior,Tier 1,1010661.0
38,13.7,Bachelor,Mid,Tier 1,933226.0
53,32.0,Bachelor,Mid,Tier 2,633064.0
70,47.2,High School,Mid,Tier 1,560138.0
58,34.7,High School,Mid,Tier 1,702469.0
54,33.0,High School,Mid,Tier 3,466125.0
44,19.7,Bachelor,Mid,Tier 3,1432204.0
42,21.5,High School,Mid,Tier 2,635134.0
47,24.0,Master,Manager,Tier 1,2885569.0
34,14.3,Bachelor,Junior,Tier 3,1365689.0
39,16.2,Bachelor,Manager,Tier 1,2770664.0
52,31.3,High School,Senior,Tier 3,1515125.0
21,0.0,High School,Junior,Tier 2,220317.0
57,36.5,High School,Junior,Tier 2,470234.0
71,49.2,High School,Junior,Tier 1,342407.0
28,2.7,Bachelor,Mid,Tier 1,1335225.0
21,1.0,Bachelor,Lead,Tier 2,1393188.0
38,15.8,High School,Mid,Tier 3,658982.0
47,26.6,Bachelor,Lead,Tier 1,1343126.0
85,64.4,Master,Lead,Tier 1,1625446.0
53,29.5,High School,Mid,Tier 2,475011.0
54,30.2,High School,Junior,Tier 2,784152.0
53,32.3,High School,Mid,Tier 2,558992.0
46,23.4,Bachelor,Mid,Tier 1,1405667.0
46,25.9,Bachelor,Manager,Tier 2,2556761.0
36,13.6,High School,Junior,Tier 3,1046391.0
73,53.0,High School,Junior,Tier 3,356442.0
23,1.8,Bachelor,Manager,Tier 1,1933249.0
42,20.6,Bachelor,Junior,Tier 2,1224376.0
39,16.3,High School,Mid,Tier 2,1121841.0
34,12.5,High School,Mid,Tier 2,656955.0
57,37.4,Bachelor,Mid,Tier 1,574778.0
49,26.9,High School,Mid,Tier 1,646417.0
20,0.0,Bachelor,Junior,Tier 3,624863.0
45,23.1,Bachelor,Mid,Tier 3,792213.0
64,42.2,High School,Mid,Tier 2,707105.0
19,0.4,High School,Junior,Tier 3,477459.0
19,0.0,High School,Mid,Tier 3,635906.0
17,0.0,High School,Mid,Tier 3,701521.0
67,45.4,High School,Junior,Tier 1,355149.0
22,0.0,High School,Mid,Tier 2,677553.0
41,18.7,Bachelor,Manager,Tier 1,2067614.0
22,0.6,Bachelor,Mid,Tier 1,979574.0
38,17.7,Bachelor,Lead,Tier 3,1482819.0
40,19.5,Master,Lead,Tier 2,1460745.0
23,0.0,High School,Junior,Tier 2,430364.0
90,70.0,High School,Mid,Tier 1,485854.0
18,0.0,Bachelor,Mid,Tier 2,837419.0
31,7.0,Bachelor,Lead,Tier 2,1539580.0
34,14.7,Bachelor,Manager,Tier 2,1999412.0
44,24.9,High School,Mid,Tier 3,1075460.0
17,0.0,High School,Mid,Tier 1,615932.0
21,0.4,High School,Mid,Tier 3,491524.0
57,36.5,High School,Mid,Tier 3,499386.0
26,6.8,Bachelor,Manager,Tier 2,1989272.0
33,12.5,Bachelor,Junior,Tier 2,1224917.0
43,18.3,High School,Junior,Tier 2,221928.0
35,17.0,Master,Lead,Tier 2,1509462.0
46,26.1,High School,Lead,Tier 1,1647848.0
48,25.0,Bachelor,Mid,Tier 2,1614456.0
52,27.9,Bachelor,Mid,Tier 2,895176.0
28,7.0,Bachelor,Mid,Tier 2,755255.0
35,12.4,Bachelor,Mid,Tier 3,1440239.0
17,0.0,High School,Senior,Tier 3,853834.0
47,26.5,Bachelor,Junior,Tier 3,855429.0
38,14.9,Bachelor,Senior,Tier 3,989074.0
34,9.8,Bachelor,Lead,Tier 2,1993122.0
36,14.8,Bachelor,Mid,Tier 3,753387.0
47,23.9,Bachelor,Junior,Tier 2,607957.0
58,36.3,PhD,Lead,Tier 3,2628111.0
46,21.3,High School,Junior,Tier 2,403814.0
28,5.5,High School,Junior,Tier 1,279577.0
46,25.4,Bachelor,Mid,Tier 3,1348989.0
35,14.2,High School,Mid,Tier 3,677293.0
27,3.4,Bachelor,Lead,Tier 1,1436534.0
41,16.7,Bachelor,Mid,Tier 2,1253578.0
22,0.0,Bachelor,Mid,Tier 1,812949.0
20,0.0,Bachelor,Junior,Tier 1,412864.0
32,10.8,Bachelor,Junior,Tier 2,456571.0
29,6.0,Bachelor,Junior,Tier 1,605931.0
23,1.6,Bachelor,Mid,Tier 1,655775.0
81,62.0,High School,Junior,Tier 2,365194.0
17,0.0,High School,Mid,Tier 3,601909.0
40,14.7,Bachelor,Manager,Tier 2,2644970.0
19,0.0,Bachelor,Junior,Tier 2,433879.0
50,32.0,Master,Manager,Tier 3,2239466.0
42,17.4,Bachelor,Mid,Tier 1,647393.0
18,0.0,High School,Junior,Tier 2,598078.0
38,15.5,Bachelor,Mid,Tier 2,701832.0
67,45.2,High School,Junior,Tier 3,472947.0
55,33.4,High School,Mid,Tier 3,1299977.0
46,26.3,Master,Lead,Tier 2,2164915.0
31,9.2,Master,Manager,Tier 1,2683950.0
30,10.6,High School,Junior,Tier 3,487559.0
52,29.8,Bachelor,Mid,Tier 1,1179288.0
63,40.3,High School,Mid,Tier 1,455126.0
69,45.7,High School,Mid,Tier 2,672838.0
40,14.4,Bachelor,Mid,Tier 1,1385906.0
33,11.6,High School,Junior,Tier 3,315173.0
81,63.0,Master,Mid,Tier 2,1447660.0
71,49.9,Bachelor,Junior,Tier 1,454541.0
26,5.4,High School,Junior,Tier 3,661737.0
51,28.2,Master,Lead,Tier 1,2322207.0
26,3.5,High School,Mid,Tier 1,501082.0
56,36.0,Master,Mid,Tier 1,907482.0
18,0.0,High School,Junior,Tier 3,471618.0
43,24.0,Bachelor,Mid,Tier 3,632903.0
46,25.6,Master,Manager,Tier 2,2762953.0
30,8.1,Bachelor,Mid,Tier 2,714226.0
34,12.4,High School,Mid,Tier 2,494234.0
36,12.5,High School,Mid,Tier 2,761569.0
44,19.1,Bachelor,Junior,Tier 3,464277.0
38,13.7,Bachelor,Mid,Tier 2,748028.0
43,21.1,Master,Lead,Tier 1,1614002.0
46,23.4,Bachelor,Lead,Tier 1,1640337.0
61,36.1,High School,Junior,Tier 2,389644.0
31,8.9,Bachelor,Junior,Tier 1,806435.0
41,18.4,High School,Manager,Tier 1,1871477.0
25,0.7,Bachelor,Junior,Tier 2,553506.0
34,11.3,Bachelor,Manager,Tier 1,2162436.0
39,16.4,Bachelor,Lead,Tier 1,1680409.0
20,0.0,High School,Junior,Tier 1,368260.0
45,24.9,Bachelor,Junior,Tier 2,698339.0
18,0.0,High School,Junior,Tier 1,501690.0
27,1.0,Bachelor,Junior,Tier 2,458707.0
33,11.0,High School,Junior,Tier 3,397828.0
42,20.2,High School,Mid,Tier 1,610119.0
49,27.8,High School,Mid,Tier 3,476218.0
36,12.9,Bachelor,Manager,Tier 3,2069702.0
28,4.2,Bachelor,Lead,Tier 3,1459601.0
56,34.0,Bachelor,Mid,Tier 3,794968.0
18,0.0,High School,Mid,Tier 1,608381.0
65,46.1,Bachelor,Senior,Tier 1,1569928.0
17,0.0,High School,Junior,Tier 2,693539.0
27,4.9,Bachelor,Manager,Tier 1,2691035.0
23,5.0,Bachelor,Mid,Tier 2,905988.0
39,16.6,High School,Junior,Tier 3,452568.0
46,25.1,High School,Mid,Tier 3,788338.0
32,11.3,High School,Manager,Tier 1,1851877.0
34,13.5,Bachelor,Mid,Tier 2,739330.0
26,4.6,Bachelor,Junior,Tier 3,496232.0
61,39.4,High School,Mid,Tier 3,531364.0
31,9.2,Bachelor,Mid,Tier 3,794102.0
56,32.8,High School,Lead,Tier 1,1270454.0
23,1.7,High School,Junior,Tier 1,228741.0
48,30.0,Bachelor,Mid,Tier 3,721173.0
73,53.4,Bachelor,Mid,Tier 2,1303680.0
28,6.6,Bachelor,Mid,Tier 3,855688.0
41,20.7,Bachelor,Mid,Tier 3,579369.0
28,4.3,Bachelor,Manager,Tier 3,2603452.0
37,14.5,Bachelor,Manager,Tier 1,1967453.0
20,0.0,Bachelor,Mid,Tier 3,839395.0
45,26.0,Bachelor,Mid,Tier 2,1296545.0
34,10.5,Bachelor,Manager,Tier 2,2783027.0
72,49.0,Bachelor,Mid,Tier 2,1351850.0
54,36.0,Bachelor,Mid,Tier 2,1408773.0
24,2.2,Bachelor,Manager,Tier 1,2182684.0
23,4.6,Bachelor,Lead,Tier 2,1305743.0
49,27.4,Bachelor,Mid,Tier 3,720339.0
45,23.5,High School,Junior,Tier 2,450532.0
41,18.4,High School,Junior,Tier 2,423746.0
51,30.9,Bachelor,Lead,Tier 1,1894360.0
40,20.7,Bachelor,Manager,Tier 1,2133582.0
29,4.9,Master,Senior,Tier 1,1220727.0
26,3.3,High School,Mid,Tier 1,615387.0
59,38.8,High School,Mid,Tier 2,573438.0
36,13.7,Bachelor,Junior,Tier 3,180000.0
48,25.0,Bachelor,Lead,Tier 2,2137955.0
22,2.0,Bachelor,Lead,Tier 2,1520563.0
52,32.2,High School,Mid,Tier 2,1156928.0
39,16.1,High School,Junior,Tier 2,232358.0
25,3.4,High School,Junior,Tier 1,335750.0
37,12.6,Bachelor,Junior,Tier 3,1299399.0
37,13.2,Bachelor,Mid,Tier 2,1301058.0
33,11.2,Bachelor,Mid,Tier 2,782702.0
48,26.1,Bachelor,Manager,Tier 1,2609972.0
29,5.1,Bachelor,Junior,Tier 2,587846.0
59,35.6,High School,Mid,Tier 3,441978.0
48,23.9,High School,Mid,Tier 2,575730.0
49,27.9,High School,Junior,Tier 3,531553.0
23,0.0,Bachelor,Senior,Tier 3,939951.0
26,2.0,Bachelor,Mid,Tier 3,724523.0
34,8.3,High School,Junior,Tier 3,526351.0
39,17.8,High School,Junior,Tier 3,1089604.0
50,24.4,Bachelor,Mid,Tier 3,804287.0
54,32.1,High School,Mid,Tier 1,1276662.0
37,18.3,High School,Mid,Tier 2,644762.0
34,15.3,Bachelor,Junior,Tier 2,522344.0
23,0.0,Bachelor,Mid,Tier 1,882255.0
37,15.6,Bachelor,Mid,Tier 1,738777.0
35,11.0,Bachelor,Manager,Tier 1,2545685.0
24,0.0,Bachelor,Mid,Tier 2,583931.0
23,0.8,Bachelor,Mid,Tier 2,676004.0
23,3.5,Bachelor,Lead,Tier 1,1374475.0
27,6.2,Bachelor,Senior,Tier 2,964633.0
25,1.6,High School,Junior,Tier 2,273927.0
27,6.4,Master,Lead,Tier 1,1704883.0
45,18.5,Bachelor,Junior,Tier 1,436422.0
55,31.5,Bachelor,Mid,Tier 2,815815.0
46,22.4,Bachelor,Junior,Tier 2,651521.0
31,9.2,High School,Mid,Tier 1,923760.0
33,10.6,High School,Junior,Tier 2,345448.0
40,17.7,Bachelor,Mid,Tier 2,745839.0
23,0.7,Master,Junior,Tier 2,610440.0
39,17.0,High School,Mid,Tier 2,474413.0
32,11.1,High School,Junior,Tier 2,949570.0
55,33.3,Bachelor,Lead,Tier 2,1371879.0
46,23.4,Bachelor,Manager,Tier 2,1922916.0
29,7.8,Bachelor,Manager,Tier 1,2078400.0
49,28.7,Master,Manager,Tier 2,2671357.0
59,35.9,High School,Mid,Tier 3,682906.0
30,7.9,Bachelor,Mid,Tier 2,852700.0
47,27.3,High School,Mid,Tier 1,496233.0
58,33.8,High School,Junior,Tier 2,567822.0
58,39.6,High School,Junior,Tier 1,448143.0
20,0.0,High School,Junior,Tier 1,391254.0
43,20.3,Bachelor,Junior,Tier 1,336564.0
19,0.0,Bachelor,Mid,Tier 2,544417.0
40,22.0,Master,Senior,Tier 2,1988720.0
23,0.0,Bachelor,Junior,Tier 3,708357.0
61,38.0,High School,Mid,Tier 2,791955.0
54,31.3,Bachelor,Mid,Tier 1,1602874.0
32,10.2,Master,Mid,Tier 2,1694965.0
25,2.3,High School,Mid,Tier 1,628606.0
30,7.7,High School,Mid,Tier 3,670177.0
19,0.0,High School,Mid,Tier 3,517881.0
65,43.1,Bachelor,Junior,Tier 1,578632.0
25,3.0,Bachelor,Mid,Tier 2,845473.0
21,1.1,High School,Junior,Tier 2,491779.0
48,28.6,High School,Mid,Tier 2,584946.0
23,0.6,High School,Junior,Tier 2,180000.0
24,3.6,Bachelor,Junior,Tier 1,368410.0
30,5.8,Bachelor,Lead,Tier 1,1537120.0
31,10.5,Master,Lead,Tier 3,1546857.0
58,34.9,High School,Mid,Tier 2,679826.0
33,8.6,PhD,Lead,Tier 1,2268932.0
32,9.6,Bachelor,Mid,Tier 2,1531390.0
29,9.8,Bachelor,Mid,Tier 1,1244986.0
61,39.4,High School,Junior,Tier 3,665682.0
43,24.0,Bachelor,Mid,Tier 2,1169820.0
38,14.5,Bachelor,Manager,Tier 2,2122401.0
17,0.0,High School,Junior,Tier 1,288223.0
36,12.7,Bachelor,Manager,Tier 2,2648936.0
45,23.5,Bachelor,Senior,Tier 1,1779161.0
62,40.4,Master,Manager,Tier 1,2330712.0
46,25.3,Bachelor,Mid,Tier 2,651228.0
42,20.5,Master,Lead,Tier 1,1526492.0
31,7.5,Bachelor,Junior,Tier 2,376267.0
